id	tweet	emotion	offensive	tweet_proc	cat1_score	cat2_score	cat3_score
18	URGENTLY NEEDED - Anyone with the ability to stick Messi’s and Klopps head on to the fountain incident. Thanks Twitter in advance I’m sure you’ll deliver. HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG	others	0	urgently needed - anyone with the ability to stick messi ’ s and klopps head on to the fountain incident . thanks twitter in advance i ’ m sure you ’ ll deliver . hashtag hashtag hashtag hashtag hashtag	0.018157124519348145	0.01512745302170515	0.019508328288793564
19	UEFA should be ashamed of this referee tonight. Awful decisions all the time HASHTAG HASHTAG HASHTAG	anger	0	uefa should be ashamed of this referee tonight . awful decisions all the time hashtag hashtag hashtag	0.012832511216402054	0.01861167885363102	0.031646132469177246
20	Says a “man” who cyber-bullies and trolls a 16-year old girl with Aspergers and USER condones it by giving him airtime. HASHTAG HASHTAG HASHTAG HASHTAG USER  URL	disgust	1	says a “ man ” who cyber-bullies and trolls a 16 - year old girl with aspergers and user condones it by giving him airtime . hashtag hashtag hashtag hashtag user url	0.03821002319455147	0.012746735475957394	0.014004436321556568
21	USER Up yours, Katie. She's 16, more clever and informed than you will ever be in your sad little life. Astounded that you are still given a platform. Stop bleating and get real. HASHTAG	anger	0	user up yours , katie . she ' s 16 , more clever and informed than you will ever be in your sad little life . astounded that you are still given a platform . stop bleating and get real . hashtag	0.021839110180735588	0.014419912360608578	0.01715219020843506
22	Not surprised to see the Red Woman since I saw her name in the opening credits HASHTAG	others	0	not surprised to see the red woman since i saw her name in the opening credits hashtag	0.017734015360474586	0.015614795498549938	0.02115706168115139
23	It would be an honor to get killed by Arya Stark. HASHTAG	others	0	it would be an honor to get killed by arya stark . hashtag	0.026369916275143623	0.013377774506807327	0.016280677169561386
24	Don’t get me wrong HASHTAG was a tragedy but where were all the pledges when it came to HASHTAG... all those people who lost loved ones and lost their homes, not 1 country pledged fuck all for them. HASHTAG HASHTAG	anger	1	don ’ t get me wrong hashtag was a tragedy but where were all the pledges when it came to hashtag ... all those people who lost loved ones and lost their homes , not 1 country pledged fuck all for them . hashtag hashtag	0.03711112588644028	0.013639908283948898	0.014365549199283123
25	HASHTAG Two Guys Feed A Stray Cat, Don't Think That She Will Return And Bring A Surprise To Them URL	surprise	0	hashtag two guys feed a stray cat , do n't think that she will return and bring a surprise to them url	0.022260915488004684	0.013719976879656315	0.01693016104400158
26	The Russia witch hunt was a joke. There's a better chance OJ is innocent than President Trump is guilty of collusion. HASHTAG	disgust	0	the russia witch hunt was a joke . there ' s a better chance oj is innocent than president trump is guilty of collusion . hashtag	0.026824811473488808	0.012988444417715073	0.01603100448846817
27	Confrontations in HASHTAG, HASHTAG escalated when an armored vehicle ran over unarmed protesters hours after HASHTAG called on people to flock to streets peacefully as he begins the “final phase” of his plan to oust regime leader HASHTAG.  URL	others	0	confrontations in hashtag , hashtag escalated when an armored vehicle ran over unarmed protesters hours after hashtag called on people to flock to streets peacefully as he begins the “ final phase ” of his plan to oust regime leader hashtag . url	0.019016239792108536	0.014754528179764748	0.021165573969483376
28	Some books bored me and I would immediately regret my decision for buying it. But many a book would give me something to take back, sit and think, discover myself. The journey is never ending and books would forever be my love. HASHTAG	others	0	some books bored me and i would immediately regret my decision for buying it . but many a book would give me something to take back , sit and think , discover myself . the journey is never ending and books would forever be my love . hashtag	0.06141249090433121	0.012381341308355331	0.013150892220437527
29	You never forget your first love! HASHTAG (via: Huffington Post)  URL  URL	joy	0	you never forget your first love ! hashtag ( via : huffington post ) url url	0.022066662088036537	0.014432902447879314	0.01695517636835575
30	USER That’s not deluded, that’s the comment of someone that believes in their club, I also think we’ll get through, I was impressed with Ajax, but with Son and a fully fit Sissoko, we can do it! 👍🏼 HASHTAG HASHTAG HASHTAG	joy	0	user that ’ s not deluded , that ’ s the comment of someone that believes in their club , i also think we ’ ll get through , i was impressed with ajax , but with son and a fully fit sissoko , we can do it ! 👍🏼 hashtag hashtag hashtag	0.024649884551763535	0.013839391991496086	0.016442153602838516
31	The match will be in my country, see you soon HASHTAG HASHTAG	others	0	the match will be in my country , see you soon hashtag hashtag	0.023136934265494347	0.014639636501669884	0.01837252452969551
32	And he said: “Truly I tell you, unless you change and become like little children, you will never enter the kingdom of heaven. HASHTAG HASHTAG	joy	0	and he said : “ truly i tell you , unless you change and become like little children , you will never enter the kingdom of heaven . hashtag hashtag	0.04902078956365585	0.014183943159878254	0.013756195083260536
33	p5 HASHTAG has spoken up our future. Do you support her?  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL	others	0	p5 hashtag has spoken up our future . do you support her ? hashtag hashtag hashtag hashtag hashtag url	0.01988174207508564	0.014234631322324276	0.019458264112472534
34	Me through the whole of HASHTAG HASHTAG and I’m not even ashamed  URL	others	0	me through the whole of hashtag hashtag and i ’ m not even ashamed url	0.02423662506043911	0.014269452542066574	0.017646322026848793
35	niggas really just convinced me to tell siri “17” HASHTAG HASHTAG	others	0	niggas really just convinced me to tell siri “ 17 ” hashtag hashtag	0.01846950873732567	0.014881569892168045	0.019210347905755043
36	HASHTAG USER USER USER all saying this is defintely not a coup. That's how you know it's most assuredly a coup. HASHTAG HASHTAG HASHTAG	disgust	0	hashtag user user user all saying this is defintely not a coup . that ' s how you know it ' s most assuredly a coup . hashtag hashtag hashtag	0.029453402385115623	0.012770412489771843	0.016016434878110886
37	USER Notice the static blip after he says the citizens don’t have guns, military has the power...  wonder if soneone hit the static button late? USER HASHTAG HASHTAG HASHTAG HASHTAG USER USER USER USER USER USER USER USER USER USER USER USER USER	disgust	0	user notice the static blip after he says the citizens don ’ t have guns , military has the power ... wonder if soneone hit the static button late ? user hashtag hashtag hashtag hashtag user user user user user user user user user user user user user	0.021088790148496628	0.014591816812753677	0.019497312605381012
38	Happy HASHTAG what are you reading? Blood Oath by USER	others	0	happy hashtag what are you reading ? blood oath by user	0.02295174077153206	0.014278188347816467	0.01872933655977249
39	Happy World Book Day 2019 HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG…  URL  URL	joy	0	happy world book day 2019 hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag … url url	0.01652691885828972	0.015790177509188652	0.02364201657474041
40	The best player that has ever kicked a ball ⚽️ Bar none ...... What a player 😅👌 HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL	joy	0	the best player that has ever kicked a ball : soccer_ball : bar none ... what a player : grinning_face_with_sweat : : OK_hand : hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag url	0.02307293750345707	0.014648780226707458	0.017712000757455826
41	With just over 2 hours to go to  HASHTAG in HASHTAG ,Surely has the makings of a very exciting game?? Who will win🤔🤔 HASHTAG up against their ex players HASHTAG HASHTAG  HASHTAG HASHTAG HASHTAG HASHTAG  URL	others	0	with just over 2 hours to go to hashtag in hashtag , surely has the makings of a very exciting game ? ? who will win : thinking_face : : thinking_face : hashtag up against their ex players hashtag hashtag hashtag hashtag hashtag hashtag url	0.019370274618268013	0.015542896464467049	0.022296365350484848
42	HASHTAG = HASHTAG taking their future into their own hands...!!!! :) With some pretty incredible supporters behind them too!! Thank you HASHTAG HASHTAG for helping raise awareness around HASHTAG USER  URL	joy	0	hashtag = hashtag taking their future into their own hands ... ! ! ! :) with some pretty incredible supporters behind them too ! ! thank you hashtag hashtag for helping raise awareness around hashtag user url	0.024982402101159096	0.013857794925570488	0.01740579679608345
43	I think 'lunch' is one of the funniest words in the world😍. Table booking available 📍 HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG, HASHTAG HASHTAG HASHTAG HASHTAG  URL	others	0	i think ' lunch ' is one of the funniest words in the world : smiling_face_with_heart-eyes : . table booking available : round_pushpin : hashtag hashtag hashtag hashtag hashtag hashtag hashtag , hashtag hashtag hashtag hashtag url	0.030391696840524673	0.012731538154184818	0.01568080484867096
44	If you know you then know and if you don't this won't spoil anything. This bit put a big goofy grin on my face. 😁😍 HASHTAG HASHTAG  URL	joy	0	if you know you then know and if you do n't this wo n't spoil anything . this bit put a big goofy grin on my face . : beaming_face_with_smiling_eyes : : smiling_face_with_heart-eyes : hashtag hashtag url	0.0357818640768528	0.013728761114180088	0.013383999466896057
45	HASHTAG still want to be teammates with HASHTAG and HASHTAG has pick the HASHTAG championship cup  URL	others	0	hashtag still want to be teammates with hashtag and hashtag has pick the hashtag championship cup url	0.016778605058789253	0.015583713538944721	0.022544724866747856
46	You're committing sin if you say Messi na human 😂😂  HASHTAG HASHTAG HASHTAG	others	0	you ' re committing sin if you say messi na human : face_with_tears_of_joy : : face_with_tears_of_joy : hashtag hashtag hashtag	0.04839964210987091	0.012992351315915585	0.011495105922222137
47	Former Blackburn and England star David Batty closes his chip shop after just three months because everybody hates his chips. HASHTAG	disgust	0	former blackburn and england star david batty closes his chip shop after just three months because everybody hates his chips . hashtag	0.017435669898986816	0.015531606040894985	0.022866399958729744
48	The damage is devastating but is anyone else as relieved as me that it wasn't more? I imagined it being far worse and I'm so impressed at how well the firefighters were able to salvage so much! I guess I'm just looking at the glass half full.  HASHTAG	others	0	the damage is devastating but is anyone else as relieved as me that it was n't more ? i imagined it being far worse and i ' m so impressed at how well the firefighters were able to salvage so much ! i guess i ' m just looking at the glass half full . hashtag	0.6312500238418579	0.029580354690551758	0.026835868135094643
49	so has maduro  been raped to death in the street yet or what?? HASHTAG	anger	1	so has maduro been raped to death in the street yet or what ? ? hashtag	0.07005037367343903	0.013270609080791473	0.01162075623869896
50	This HASHTAG watch how, in HASHTAG, we transform local tuktuks into mobile libraries that travel to remote communities to bring the joys &benefits of reading to children who don't have access to any books. USER USER   URL via USER	others	0	this hashtag watch how , in hashtag , we transform local tuktuks into mobile libraries that travel to remote communities to bring the joys & benefits of reading to children who do n't have access to any books . user user url via user	0.0246115755289793	0.013781734742224216	0.02227598987519741
51	USER USER Last book recommendation? In honor of HASHTAG	others	0	user user last book recommendation ? in honor of hashtag	0.01942542754113674	0.015558569692075253	0.02081870846450329
52	Special tasting night at USER: Meat & Greet food truck and HASHTAG, pluse delicious HASHTAG. Hard to beat that! Doors open at 5:00 pm!  URL	others	0	special tasting night at user : meat & greet food truck and hashtag , pluse delicious hashtag . hard to beat that ! doors open at 5:00 pm ! url	0.01776556484401226	0.015658488497138023	0.020634865388274193
53	Please ... after today can everyone agree that HASHTAG is the GOAT 👏🏽 HASHTAG HASHTAG HASHTAG  HASHTAG	joy	0	please ... after today can everyone agree that hashtag is the goat 👏🏽 hashtag hashtag hashtag hashtag	0.022445671260356903	0.014648552983999252	0.017176982015371323
54	HASHTAG minister resigns & blames HASHTAG. HASHTAG highlighted by HASHTAG sends HASHTAG interest soaring. HASHTAG push for national HASHTAG See how all the Press tell the story here  URL  URL	disgust	0	hashtag minister resigns & blames hashtag . hashtag highlighted by hashtag sends hashtag interest soaring . hashtag push for national hashtag see how all the press tell the story here url url	0.01974800042808056	0.014138296246528625	0.020055199041962624
55	The Spanish Social Democrats won the election.  But can they form a government coalition? HASHTAG HASHTAG  URL	others	0	the spanish social democrats won the election . but can they form a government coalition ? hashtag hashtag url	0.025468049570918083	0.01428009383380413	0.019080767408013344
56	Ok but what the hell was Bran doing while Theon fought off all the wights??? Where did the ravens go?? HASHTAG	others	0	ok but what the hell was bran doing while theon fought off all the wights ? ? ? where did the ravens go ? ? hashtag	0.021416259929537773	0.015526819042861462	0.01794418692588806
57	Of topic: soooo happy! Vamos USER!!! HASHTAG  URL	joy	0	of topic : soooo happy ! vamos user ! ! ! hashtag url	0.015566978603601456	0.01642812415957451	0.024310706183314323
58	It's horrible, but at least it's not as horrible as it could have been. It looked as though we were going to lose the entire cathedral last night. I heard the three rose windows and the Pieta were saved. Kudos to the firefighters:  URL HASHTAG	sadness	0	it ' s horrible , but at least it ' s not as horrible as it could have been . it looked as though we were going to lose the entire cathedral last night . i heard the three rose windows and the pieta were saved . kudos to the firefighters : url hashtag	0.029931550845503807	0.013316536322236061	0.015780583024024963
59	No fire could ever burn our faith in Christianity, and this is just one of the examples that nothing will impede or suppress our devotion and faith especially during Holy Week ✝️ HASHTAG  URL	others	0	no fire could ever burn our faith in christianity , and this is just one of the examples that nothing will impede or suppress our devotion and faith especially during holy week : latin_cross : hashtag url	0.4480471611022949	0.018534183502197266	0.019613809883594513
60	Maduro is finished. In the next few hours he will be either resigning, fleeing or being killed the same way as Gaddafi. There is no going back. HASHTAG will be free tonight!	joy	0	maduro is finished . in the next few hours he will be either resigning , fleeing or being killed the same way as gaddafi . there is no going back . hashtag will be free tonight !	0.02457326464354992	0.01456304918974638	0.016796952113509178
61	HASHTAG the military is killing a lot of Venezuelans 😭😭 Stay Strong 💪💓💗💘💖💝💞❤️🧡💛💚💙	sadness	0	hashtag the military is killing a lot of venezuelans : loudly_crying_face : : loudly_crying_face : stay strong : flexed_biceps : : beating_heart : : growing_heart : : heart_with_arrow : : sparkling_heart : : heart_with_ribbon : : revolving_hearts : : red_heart : : orange_heart : : yellow_heart : : green_heart : : blue_heart :	0.06580730527639389	0.012304934673011303	0.013179426081478596
62	"“I assure you to leave off reading was like tearing myself away from the shelter of an old and solid friendship."" HASHTAG HASHTAG  URL"	others	0	"“ i assure you to leave off reading was like tearing myself away from the shelter of an old and solid friendship . "" hashtag hashtag url"	0.028894774615764618	0.014169267378747463	0.015423835255205631
63	It's HASHTAG! At TJS, we get excited about books (especially because it's very difficult to purchase multiple copies of reading books in HASHTAG). Pictured: Principal Dallen.  URL	joy	0	it ' s hashtag ! at tjs , we get excited about books ( especially because it ' s very difficult to purchase multiple copies of reading books in hashtag ) . pictured : principal dallen . url	0.027877312153577805	0.013638599775731564	0.016353797167539597
64	If you want to win big championships, do not hire HASHTAG... HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG	others	0	if you want to win big championships , do not hire hashtag ... hashtag hashtag hashtag hashtag hashtag	0.026742009446024895	0.01453629694879055	0.016245020553469658
65	Brilliant game of football so far, Liverpool unlucky to be behind. Need more belief in the second half and the away goal will come👌🏻 HASHTAG HASHTAG	joy	0	brilliant game of football so far , liverpool unlucky to be behind . need more belief in the second half and the away goal will come 👌🏻 hashtag hashtag	0.020159833133220673	0.014826800674200058	0.019831445068120956
66	Playing the numbers’ game in HASHTAG. HASHTAG won’t have a coalition deal in place until after local polls at the end of May. Mick O'Reilly writes on the crucial HASHTAG   URL	others	0	playing the numbers ’ game in hashtag . hashtag won ’ t have a coalition deal in place until after local polls at the end of may . mick o'reilly writes on the crucial hashtag url	0.01713693141937256	0.015558363869786263	0.023654816672205925
67	Not massively hopeful after last night’s results. If USER get into bed with USER to govern, get ready to have your wallets raided. HASHTAG	disgust	0	not massively hopeful after last night ’ s results . if user get into bed with user to govern , get ready to have your wallets raided . hashtag	0.026370767503976822	0.013868511654436588	0.016042638570070267
68	The Anger coming on Kings Landing will be brutal.  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG	others	0	the anger coming on kings landing will be brutal . hashtag hashtag hashtag hashtag hashtag hashtag	0.04660067707300186	0.012164480052888393	0.012536375783383846
69	USER The episode was awesome! I swear I felt like I was at this battle too. HASHTAG HASHTAG HASHTAG	joy	0	user the episode was awesome ! i swear i felt like i was at this battle too . hashtag hashtag hashtag	0.02429172955453396	0.014055066742002964	0.016780391335487366
70	History on fire. Big disaster for France, but it's not only about building. Mainly it's about losing nation pride. Because these old things remind, that previous generations lived there. Hope for the best! 🙏 HASHTAG HASHTAG HASHTAG  URL	sadness	0	history on fire . big disaster for france , but it ' s not only about building . mainly it ' s about losing nation pride . because these old things remind , that previous generations lived there . hope for the best ! : folded_hands : hashtag hashtag hashtag url	0.05503404513001442	0.012476191855967045	0.013487479649484158
71	". USER. USER Maybe next time U won't be so quick to cut off your quests. They weren't speculating, just stating facts.""Anger as France sees 10 Catholic churches attacked in ONE week"" URL HASHTAG"	anger	0	". user . user maybe next time u wo n't be so quick to cut off your quests . they were n't speculating , just stating facts . "" anger as france sees 10 catholic churches attacked in one week "" url hashtag"	0.022829649969935417	0.014405552297830582	0.01681339368224144
72	W/crisis in HASHTAG rapidly worsening, USER says it’s 1 of 3 potential areas where the HASHTAG Security Council could claw back some credibility if US & Russia come back to table more constructively. URL via USER	disgust	1	w / crisis in hashtag rapidly worsening , user says it ’ s 1 of 3 potential areas where the hashtag security council could claw back some credibility if us & russia come back to table more constructively . url via user	0.06741788238286972	0.012548861093819141	0.01339507382363081
73	USER USER USER USER Actually US sanctions have pushed HASHTAG to bankruptcy. Corruption by HASHTAG  and his puppets destroyed Venezuela! HASHTAG HASHTAG HASHTAG	disgust	0	user user user user actually us sanctions have pushed hashtag to bankruptcy . corruption by hashtag and his puppets destroyed venezuela ! hashtag hashtag hashtag	0.027830183506011963	0.012752048671245575	0.015504433773458004
74	World Book Day is a day to encourage reading, celebrated every year on 23rd April! Let us know your favourite book in the comments. URL HASHTAG HASHTAG HASHTAG  URL	others	0	world book day is a day to encourage reading , celebrated every year on 23rd april ! let us know your favourite book in the comments . url hashtag hashtag hashtag url	0.01596866548061371	0.016085539013147354	0.026408256962895393
75	“There is no friend as loyal as a book.” -Ernest HemingwayOn this HASHTAG, let's celebrate reading & recognize the scope of books - a link…  URL	joy	0	“ there is no friend as loyal as a book . ” - ernest hemingwayon this hashtag , let ' s celebrate reading & recognize the scope of books - a link … url	0.035903967916965485	0.014237930998206139	0.015456264838576317
76	USER Not a Prophet, but a Puppet. The adults responsible for putting this vulnerable child on the global pedestal are sick individuals. It is blatant exploitation and abuse IMO. HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG	disgust	0	user not a prophet , but a puppet . the adults responsible for putting this vulnerable child on the global pedestal are sick individuals . it is blatant exploitation and abuse imo . hashtag hashtag hashtag hashtag hashtag	0.11086332052946091	0.012961970642209053	0.012951633892953396
77	My son, who has high functioning ASD, wanted to thank you USER for being an HASHTAG HASHTAG  URL HASHTAG HASHTAG HASHTAG (I think I’ve got something in my eye.....🥰)  URL	joy	0	my son , who has high functioning asd , wanted to thank you user for being an hashtag hashtag url hashtag hashtag hashtag ( i think i ’ ve got something in my eye ... : smiling_face_with_hearts : ) url	0.07264808565378189	0.014787192456424236	0.013213223777711391
78	Can we just admire the character evolutions and backstories in HASHTAG	others	0	can we just admire the character evolutions and backstories in hashtag	0.03366435319185257	0.013828371651470661	0.017192324623465538
79	USER WE LOVE YOU! That was the best episode yet. HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL	joy	0	user we love you ! that was the best episode yet . hashtag hashtag hashtag hashtag hashtag hashtag url	0.016992246732115746	0.015798300504684448	0.022624151781201363
80	LA LIGA CHAMPIONS AGAIN. WHO CAME THROUGH YET AGAIN; LEO. HASHTAG HASHTAG HASHTAG  URL	joy	0	la liga champions again . who came through yet again ; leo . hashtag hashtag hashtag url	0.015054354444146156	0.016564248129725456	0.024054257199168205
81	Wow..... just wow!! Take a bow HASHTAG USER 👏👏👏	surprise	0	wow ... just wow ! ! take a bow hashtag user : clapping_hands : : clapping_hands : : clapping_hands :	0.020577486604452133	0.015853960067033768	0.01801225170493126
82	USER USER Save your money. It will be burned down again if they rebuild it. The west is lost.  HASHTAG HASHTAG HASHTAG HASHTAG	others	0	user user save your money . it will be burned down again if they rebuild it . the west is lost . hashtag hashtag hashtag hashtag	0.04729315638542175	0.012158847413957119	0.01322433352470398
83	Such sad things are happening in the world rn 😔 HASHTAG HASHTAG HASHTAG  URL	sadness	0	such sad things are happening in the world rn :p ensive_face : hashtag hashtag hashtag url	0.41916072368621826	0.018268588930368423	0.019387947395443916
84	‘This is not a coup d'etat': A civic-military rebellion in HASHTAG  URL  URL	others	0	‘ this is not a coup d'etat ' : a civic-military rebellion in hashtag url url	0.02361426316201687	0.015394875779747963	0.017348386347293854
85	Sending so much love and light to HASHTAG 🇻🇪 right now.	joy	0	sending so much love and light to hashtag 🇻 🇪 right now .	0.025561882182955742	0.013948061503469944	0.015906669199466705
86	Happy HASHTAG! 📚 Magazines are still books right? Pick up your digital copy of HASHTAG here:  URL OR you can send us a DM and we'll mail you a paper copy! HASHTAG HASHTAG  URL	others	0	happy hashtag ! : books : magazines are still books right ? pick up your digital copy of hashtag here : url or you can send us a dm and we ' ll mail you a paper copy ! hashtag hashtag url	0.01764044724404812	0.01576782949268818	0.021463755518198013
87	USER See what am saying. It’s over bro! Klopp got it all wrong tonight. HASHTAG HASHTAG	disgust	0	user see what am saying . it ’ s over bro ! klopp got it all wrong tonight . hashtag hashtag	0.02254151552915573	0.013930588029325008	0.017601603642106056
88	Educating for Extinction. (climate change as a catalyst for shifts in a failing system)  URL … HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL	joy	0	educating for extinction . ( climate change as a catalyst for shifts in a failing system ) url … hashtag hashtag hashtag hashtag hashtag hashtag url	0.9060670733451843	0.12852467596530914	0.19953523576259613
89	Looks like German cities will start calling it HASHTAG after the city of HASHTAG has declared the state of climate emergency. Other cities will follow - I'm pretty sure. Thanks to HASHTAG  URL	others	0	looks like german cities will start calling it hashtag after the city of hashtag has declared the state of climate emergency . other cities will follow - i ' m pretty sure . thanks to hashtag url	0.037302520126104355	0.01423075795173645	0.014226578176021576
90	HASHTAG was amazing! Just need to hide away from the HASHTAG spoilers until Wednesday!	joy	0	hashtag was amazing ! just need to hide away from the hashtag spoilers until wednesday !	0.022843705490231514	0.01402001641690731	0.017362993210554123
91	"“This fire is totally shocking and the damage it caused is absolutely heart-breaking, but this is not the end"": USER on the HASHTAG  URL HASHTAG HASHTAG"	sadness	0	"“ this fire is totally shocking and the damage it caused is absolutely heart-breaking , but this is not the end "" : user on the hashtag url hashtag hashtag"	0.5017779469490051	0.01979130506515503	0.02075600065290928
92	You're so funny, Americayou're never there 🤪😜😝😛🤣😂😅 HASHTAG	disgust	1	you ' re so funny , americayou ' re never there : zany_face : : winking_face_with_tongue : : squinting_face_with_tongue : : face_with_tongue : : rolling_on_the_floor_laughing : : face_with_tears_of_joy : : grinning_face_with_sweat : hashtag	0.029324159026145935	0.014295917004346848	0.014671249315142632
93	USER USER USER It would be a disgrace if USER USER did not give the alternative narrative a voice . This is blatant fomenting by US of violent regime change in HASHTAG. USER USER USER	disgust	0	user user user it would be a disgrace if user user did not give the alternative narrative a voice . this is blatant fomenting by us of violent regime change in hashtag . user user user	0.04461267217993736	0.012113496661186218	0.014862000942230225
